id,json
0,"{""Plan"": {""Node Type"": ""Seq Scan"", ""Parallel Aware"": false, ""Relation Name"": ""lineitem"", ""Alias"": ""lineitem"", ""Startup Cost"": 0.0, ""Total Cost"": 187519.01, ""Plan Rows"": 1519324, ""Plan Width"": 121, ""Actual Startup Time"": 0.173, ""Actual Total Time"": 775.722, ""Actual Rows"": 1560306, ""Actual Loops"": 1, ""Filter"": ""(l_quantity > '37'::numeric)"", ""Rows Removed by Filter"": 4440909}, ""Planning Time"": 3.676, ""Triggers"": [], ""Execution Time"": 801.056}"
1,"{""Plan"": {""Node Type"": ""Gather"", ""Parallel Aware"": false, ""Startup Cost"": 1000.0, ""Total Cost"": 144759.77, ""Plan Rows"": 1, ""Plan Width"": 121, ""Actual Startup Time"": 397.882, ""Actual Total Time"": 400.504, ""Actual Rows"": 0, ""Actual Loops"": 1, ""Workers Planned"": 2, ""Workers Launched"": 2, ""Single Copy"": false, ""Plans"": [{""Node Type"": ""Seq Scan"", ""Parent Relationship"": ""Outer"", ""Parallel Aware"": true, ""Relation Name"": ""lineitem"", ""Alias"": ""lineitem"", ""Startup Cost"": 0.0, ""Total Cost"": 143759.67, ""Plan Rows"": 1, ""Plan Width"": 121, ""Actual Startup Time"": 287.732, ""Actual Total Time"": 287.732, ""Actual Rows"": 0, ""Actual Loops"": 3, ""Filter"": ""(l_quantity > '57'::numeric)"", ""Rows Removed by Filter"": 2000405, ""Workers"": []}]}, ""Planning Time"": 0.056, ""Triggers"": [], ""Execution Time"": 400.518}"
2,"{""Plan"": {""Node Type"": ""Seq Scan"", ""Parallel Aware"": false, ""Relation Name"": ""orders"", ""Alias"": ""orders"", ""Startup Cost"": 0.0, ""Total Cost"": 44845.0, ""Plan Rows"": 136340, ""Plan Width"": 111, ""Actual Startup Time"": 0.158, ""Actual Total Time"": 160.683, ""Actual Rows"": 139171, ""Actual Loops"": 1, ""Filter"": ""(o_orderdate > '1997-12-22'::date)"", ""Rows Removed by Filter"": 1360829}, ""Planning Time"": 2.557, ""Triggers"": [], ""Execution Time"": 163.029}"
3,"{""Plan"": {""Node Type"": ""Seq Scan"", ""Parallel Aware"": false, ""Relation Name"": ""orders"", ""Alias"": ""orders"", ""Startup Cost"": 0.0, ""Total Cost"": 44845.0, ""Plan Rows"": 108812, ""Plan Width"": 111, ""Actual Startup Time"": 0.017, ""Actual Total Time"": 144.98, ""Actual Rows"": 111140, ""Actual Loops"": 1, ""Filter"": ""(o_orderdate > '1998-02-05'::date)"", ""Rows Removed by Filter"": 1388860}, ""Planning Time"": 0.041, ""Triggers"": [], ""Execution Time"": 146.844}"
4,"{""Plan"": {""Node Type"": ""Seq Scan"", ""Parallel Aware"": false, ""Relation Name"": ""orders"", ""Alias"": ""orders"", ""Startup Cost"": 0.0, ""Total Cost"": 44845.0, ""Plan Rows"": 166059, ""Plan Width"": 111, ""Actual Startup Time"": 0.017, ""Actual Total Time"": 147.219, ""Actual Rows"": 167303, ""Actual Loops"": 1, ""Filter"": ""(o_orderdate > '1997-11-07'::date)"", ""Rows Removed by Filter"": 1332697}, ""Planning Time"": 0.038, ""Triggers"": [], ""Execution Time"": 150.021}"
5,"{""Plan"": {""Node Type"": ""Seq Scan"", ""Parallel Aware"": false, ""Relation Name"": ""lineitem"", ""Alias"": ""lineitem"", ""Startup Cost"": 0.0, ""Total Cost"": 187519.01, ""Plan Rows"": 1278273, ""Plan Width"": 121, ""Actual Startup Time"": 0.018, ""Actual Total Time"": 805.702, ""Actual Rows"": 1320234, ""Actual Loops"": 1, ""Filter"": ""(l_quantity > '39'::numeric)"", ""Rows Removed by Filter"": 4680981}, ""Planning Time"": 0.046, ""Triggers"": [], ""Execution Time"": 826.543}"
6,"{""Plan"": {""Node Type"": ""Gather"", ""Parallel Aware"": false, ""Startup Cost"": 1000.0, ""Total Cost"": 144759.77, ""Plan Rows"": 1, ""Plan Width"": 121, ""Actual Startup Time"": 365.611, ""Actual Total Time"": 389.655, ""Actual Rows"": 0, ""Actual Loops"": 1, ""Workers Planned"": 2, ""Workers Launched"": 2, ""Single Copy"": false, ""Plans"": [{""Node Type"": ""Seq Scan"", ""Parent Relationship"": ""Outer"", ""Parallel Aware"": true, ""Relation Name"": ""lineitem"", ""Alias"": ""lineitem"", ""Startup Cost"": 0.0, ""Total Cost"": 143759.67, ""Plan Rows"": 1, ""Plan Width"": 121, ""Actual Startup Time"": 290.786, ""Actual Total Time"": 290.786, ""Actual Rows"": 0, ""Actual Loops"": 3, ""Filter"": ""(l_quantity > '51'::numeric)"", ""Rows Removed by Filter"": 2000405, ""Workers"": []}]}, ""Planning Time"": 0.048, ""Triggers"": [], ""Execution Time"": 389.667}"
7,"{""Plan"": {""Node Type"": ""Seq Scan"", ""Parallel Aware"": false, ""Relation Name"": ""lineitem"", ""Alias"": ""lineitem"", ""Startup Cost"": 0.0, ""Total Cost"": 187519.01, ""Plan Rows"": 1636949, ""Plan Width"": 121, ""Actual Startup Time"": 0.025, ""Actual Total Time"": 1292.492, ""Actual Rows"": 1680376, ""Actual Loops"": 1, ""Filter"": ""(l_quantity > '36'::numeric)"", ""Rows Removed by Filter"": 4320839}, ""Planning Time"": 0.043, ""Triggers"": [], ""Execution Time"": 1345.136}"
8,"{""Plan"": {""Node Type"": ""Seq Scan"", ""Parallel Aware"": false, ""Relation Name"": ""lineitem"", ""Alias"": ""lineitem"", ""Startup Cost"": 0.0, ""Total Cost"": 187519.01, ""Plan Rows"": 1999627, ""Plan Width"": 121, ""Actual Startup Time"": 0.027, ""Actual Total Time"": 1383.41, ""Actual Rows"": 2041467, ""Actual Loops"": 1, ""Filter"": ""(l_quantity > '33'::numeric)"", ""Rows Removed by Filter"": 3959748}, ""Planning Time"": 0.055, ""Triggers"": [], ""Execution Time"": 1452.594}"
9,"{""Plan"": {""Node Type"": ""Seq Scan"", ""Parallel Aware"": false, ""Relation Name"": ""orders"", ""Alias"": ""orders"", ""Startup Cost"": 0.0, ""Total Cost"": 44845.0, ""Plan Rows"": 1228752, ""Plan Width"": 111, ""Actual Startup Time"": 0.022, ""Actual Total Time"": 247.208, ""Actual Rows"": 1227556, ""Actual Loops"": 1, ""Filter"": ""(o_orderdate > '1993-03-14'::date)"", ""Rows Removed by Filter"": 272444}, ""Planning Time"": 0.041, ""Triggers"": [], ""Execution Time"": 283.934}"
